o,h,l,c,v
1.16368,1.16402,1.15872,1.16347,0
1.16311,1.17069,1.16219,1.166,0
1.16523,1.16706,1.16064,1.16565,0
1.16417,1.17527,1.16268,1.17219,0
1.1717,1.1771,1.16593,1.17688,0
1.17759,1.18279,1.15805,1.17022,0
1.16815,1.17062,1.16024,1.1703,0
1.16937,1.18326,1.16843,1.17341,0
1.17227,1.17853,1.16534,1.17357,0
1.17453,1.18086,1.16494,1.17635,0
1.17405,1.19665,1.16035,1.1871,0
1.1876,1.19786,1.17246,1.18257,0
1.18268,1.18682,1.17668,1.17898,0
1.18015,1.18387,1.17131,1.17456,0
1.17228,1.18847,1.16056,1.18005,0
1.17907,1.18259,1.17806,1.18139,0
1.18353,1.18818,1.16621,1.17441,0
1.17354,1.18017,1.15834,1.16622,0
1.1685,1.17661,1.16311,1.17312,0
1.17493,1.17862,1.16288,1.17353,0
