o,h,l,c,v
1.16248,1.17122,1.15201,1.16347,0
1.16255,1.1713,1.16216,1.166,0
1.16479,1.16859,1.1638,1.16565,0
1.16577,1.17668,1.16322,1.17219,0
1.17151,1.18916,1.17027,1.17688,0
1.1751,1.18722,1.16442,1.17022,0
1.17188,1.17699,1.15522,1.1703000000000001,0
1.17012,1.1836,1.16527,1.17341,0
1.17471,1.17734,1.16998,1.17357,0
1.1749100000000001,1.18412,1.17007,1.17635,0
1.17423,1.19793,1.16621,1.1871,0
1.18486,1.1860300000000001,1.17611,1.1825700000000001,0
1.18473,1.19405,1.16651,1.1789800000000001,0
1.17828,1.1885,1.1586,1.17456,0
1.17337,1.18277,1.1673200000000001,1.18005,0
1.17824,1.1816200000000001,1.17797,1.18139,0
1.18122,1.18486,1.1715200000000001,1.17441,0
1.17318,1.1822300000000001,1.16096,1.16622,0
1.16635,1.17454,1.1639300000000001,1.17025,0
1.17187,1.18558,1.16035,1.17312,0
1.17448,1.17936,1.16554,1.17353,0
1.17509,1.1844700000000001,1.16703,1.1733500000000001,0
