o,h,l,c,v
1.17485,1.17635,1.16374,1.17456,0
1.17664,1.18062,1.17524,1.18005,0
1.18163,1.18784,1.17863,1.18139,0
1.18024,1.18588,1.1733,1.17441,0
1.17286,1.17444,1.1572,1.16622,0
1.16499,1.17701,1.15735,1.17025,0
1.17185,1.17892,1.16661,1.17312,0
1.17471,1.17609,1.16788,1.17353,0
1.17195,1.17731,1.17043,1.17335,0
1.17449,1.17507,1.16993,1.17246,0
1.17406,1.18565,1.16248,1.17412,0
1.17627,1.17822,1.16507,1.17099,0
1.17113,1.17232,1.15592,1.16539,0
1.16363,1.16539,1.16018,1.16306,0
1.16264,1.16784,1.1494,1.15662,0
1.15842,1.17786,1.14868,1.16184,0
1.16396,1.17853,1.1489,1.15663,0
1.15589,1.17164,1.15172,1.16019,0
1.16211,1.17476,1.16061,1.16461,0
1.16368,1.17106,1.1592,1.16993,0
1.1703,1.17198,1.16343,1.16604,0
