o,h,l,c,v
1.16265,1.17065,1.1493,1.16347,0
1.16482,1.17336,1.15088,1.166,0
1.16798,1.1745,1.15671,1.16565,0
1.16637,1.18688,1.1611,1.17688,0
1.17685,1.1786,1.16085,1.17022,0
1.16941,1.17762,1.16463,1.1703,0
1.17205,1.17766,1.16714,1.17341,0
1.17304,1.17357,1.16846,1.17357,0
1.17569,1.18519,1.16991,1.17635,0
1.17859,1.19694,1.16409,1.1871,0
1.18646,1.19357,1.17947,1.18257,0
1.18326,1.18448,1.17768,1.17898,0
1.18023,1.18066,1.16525,1.17456,0
1.17268,1.18598,1.16813,1.18005,0
1.18161,1.18964,1.17643,1.18139,0
1.18046,1.19219,1.17025,1.17441,0
1.17303,1.17931,1.15885,1.16622,0
1.16782,1.17756,1.16425,1.17025,0
1.16978,1.1794,1.16922,1.17312,0
1.17269,1.17812,1.16599,1.17353,0
1.17493,1.18379,1.16254,1.17335,0
