o,h,l,c,v
1.16454,1.16628,1.16259,1.16347,0
1.16501,1.17498,1.15797,1.166,0
1.16549,1.17114,1.15628,1.16565,0
1.16417,1.18264,1.15653,1.17219,0
1.17396,1.17993,1.17238,1.17688,0
1.17485,1.17724,1.16515,1.17022,0
1.16839,1.17872,1.15784,1.1703,0
1.1689,1.17549,1.1614,1.17341,0
1.17401,1.17514,1.16694,1.17357,0
1.17219,1.18653,1.16548,1.17635,0
1.17593,1.19678,1.1681,1.1871,0
1.18937,1.19546,1.18131,1.18257,0
1.18036,1.18595,1.16439,1.17898,0
1.17676,1.17932,1.16948,1.17456,0
1.17336,1.18149,1.17277,1.18005,0
1.17884,1.18599,1.17403,1.18139,0
1.18289,1.19281,1.16289,1.17441,0
1.17243,1.1781,1.15188,1.16622,0
1.16513,1.17416,1.1598,1.17025,0
1.16985,1.17879,1.16104,1.17312,0
1.17131,1.18633,1.17041,1.17353,0
1.17526,1.18039,1.1684,1.17335,0
