o,h,l,c,v
1.164,1.16878,1.15826,1.16347,0
1.16277,1.16994,1.15648,1.166,0
1.16415,1.1736,1.163,1.16565,0
1.16492,1.17445,1.15802,1.17219,0
1.17375,1.183,1.17091,1.17688,0
1.17738,1.18964,1.15879,1.17022,0
1.1717,1.17452,1.1577,1.1703,0
1.16843,1.18127,1.16329,1.17341,0
1.17171,1.17996,1.16818,1.17357,0
1.17409,1.17705,1.16589,1.17635,0
1.17483,1.19232,1.16858,1.1871,0
1.18647,1.19162,1.17953,1.18257,0
1.18071,1.18646,1.17143,1.17898,0
1.18117,1.1838,1.17306,1.17456,0
1.17627,1.19214,1.16532,1.18005,0
1.18123,1.18833,1.17671,1.18139,0
1.18104,1.18343,1.16281,1.17441,0
1.17407,1.17502,1.16556,1.16622,0
1.16473,1.17711,1.16459,1.17025,0
1.17191,1.17923,1.17084,1.17312,0
1.17215,1.17548,1.16438,1.17353,0
1.1728,1.17343,1.16936,1.17335,0
